storageLink,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,17.3,17.3,I,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,17.3,17.4,got,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,17.4,17.8,about,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,17.8,17.9,two,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,17.9,18.4,minutes.,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,18.4,18.5,I,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,18.5,19.6,renegotiated,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,19.6,19.9,it,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,20.0,20.3,down,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,20.3,20.4,to,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,20.4,20.7,two,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,20.7,20.9,hours,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,20.9,21.0,so,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,21.0,21.2,we,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,21.2,21.3,can,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,21.3,21.5,get,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,21.5,21.6,the,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,21.6,21.8,hell,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,21.8,22.0,out,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,22.0,22.1,of,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,22.1,22.3,here.,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,22.3,22.5,Not,1
Y1aQ43RdyvY,0,"I got about two minutes. I renegotiated it down to two hours so we can get the hell out of here. Not bad. No, we do not pay candidates to appear at the base.",0.8333852291107178,22.5,22.8,bad.,1
